# lemma	count — freq ranking for --freq/--maxEntries (must-keep 20M+, top50k 5M-). MIT.
zusammen	4999771
habt	4999770
unter	4999769
scheisse	4999768
nehmen	4999767
eines	4999766
herr	4999765
andere	4999764
getan	4999763
rein	4999762
bringen	4999761
ganze	4999760
glauben	4999759
genug	4999758
darf	4999757
junge	4999756
stimmt	4999755
brauchen	4999754
gegen	4999753
moment	4999752
erst	4999751
seid	4999750
einmal	4999749
sonst	4999748
niemand	4999747
steht	4999746
warten	4999745
dabei	4999744
fragen	4999743
sofort	4999742
jahre	4999741
halt	4999740
verdammt	4999739
ihrer	4999738
bevor	4999737
sohn	4999736
familie	4999735
heisst	4999734
jeder	4999733
gefunden	4999732
sache	4999731
problem	4999730
fertig	4999729
allein	4999728
wann	4999727
brauche	4999726
bruder	4999725
hilfe	4999724
halten	4999723
hatten	4999722
siehst	4999721
daruber	4999720
wahr	4999719
warst	4999718
beim	4999717
ne	4999716
seinen	4999715
beide	4999714
jahren	4999713
daran	4999712
kam	4999711
dazu	4999710
gib	4999709
wurden	4999708
verstehe	4999707
deinem	4999706
ihrem	4999705
deiner	4999704
wusste	4999703
konnten	4999702
fall	4999701
lieber	4999700
eigentlich	4999699
bekommen	4999698
jeden	4999697
sieh	4999696
dank	4999695
vergessen	4999694
kennen	4999693
mag	4999692
sehe	4999691
frage	4999690
gern	4999689
komme	4999688
sage	4999687
kopf	4999686
egal	4999685
letzte	4999684
namen	4999683
gab	4999682
kleine	4999681
mache	4999680
toten	4999679
fahren	4999678
all	4999677
n	4999676
spater	4999675
uhr	4999674
ende	4999673
baby	4999672
gehe	4999671
gluck	4999670
dinge	4999669
freunde	4999668
bisschen	4999667
sterben	4999666
darauf	4999665
bald	4999664
minuten	4999663
echt	4999662
bereit	4999661
eins	4999660
augen	4999659
runter	4999658
jungs	4999657
seiner	4999656
polizei	4999655
auto	4999654
eure	4999653
vielen	4999652
stehen	4999651
weit	4999650
meinst	4999649
draussen	4999648
tur	4999647
dad	4999646
verruckt	4999645
kerl	4999644
einzige	4999643
vorbei	4999642
treffen	4999641
ganzen	4999640
hi	4999639
ahnung	4999638
teufel	4999637
kenne	4999636
hinter	4999635
fast	4999634
name	4999633
arbeiten	4999632
gerne	4999631
dran	4999630
ziemlich	4999629
ruhig	4999628
ging	4999627
sorgen	4999626
verstanden	4999625
tochter	4999624
toll	4999623
jemanden	4999622
sogar	4999621
uberhaupt	4999620
he	4999619
spat	4999618
hort	4999617
frauen	4999616
hand	4999615
drin	4999614
schau	4999613
nimm	4999612
seinem	4999611
mama	4999610
lang	4999609
solltest	4999608
verloren	4999607
art	4999606
sah	4999605
verstehen	4999604
darum	4999603
denkst	4999602
job	4999601
ruhe	4999600
braucht	4999599
woher	4999598
spielen	4999597
idee	4999596
suchen	4999595
je	4999594
kommst	4999593
liegt	4999592
grund	4999591
versuchen	4999590
jahr	4999589
gekommen	4999588
gewesen	4999587
endlich	4999586
schwester	4999585
keiner	4999584
wenig	4999583
tod	4999582
versucht	4999581
oben	4999580
letzten	4999579
erste	4999578
alter	4999577
kurz	4999576
bedeutet	4999575
niemals	4999574
ah	4999573
funf	4999572
welche	4999571
hoch	4999570
etwa	4999569
erzahlt	4999568
finde	4999567
lasst	4999566
bringt	4999565
getotet	4999564
stunden	4999563
holen	4999562
schwer	4999561
verlassen	4999560
anders	4999559
hoffe	4999558
gestern	4999557
musste	4999556
wahrheit	4999555
vier	4999554
sagst	4999553
mom	4999552
ort	4999551
lauft	4999550
zimmer	4999549
wahrend	4999548
captain	4999547
deshalb	4999546
seite	4999545
wurdest	4999544
glaubst	4999543
krieg	4999542
zeigen	4999541
gefallen	4999540
spiel	4999539
bleibt	4999538
woche	4999537
unserer	4999536
nett	4999535
denen	4999534
bestimmt	4999533
zwischen	4999532
wagen	4999531
the	4999530
guter	4999529
schatz	4999528
schuld	4999527
erzahlen	4999526
ersten	4999525
dies	4999524
spass	4999523
tage	4999522
nehme	4999521
manchmal	4999520
beste	4999519
gehst	4999518
chance	4999517
entschuldigung	4999516
anderes	4999515
schlecht	4999514
wollten	4999513
ernst	4999512
sachen	4999511
eben	4999510
schlafen	4999509
gefallt	4999508
entschuldigen	4999507
bett	4999506
allen	4999505
gesicht	4999504
typ	4999503
unten	4999502
mensch	4999501
freundin	4999500
miss	4999499
kleiner	4999498
hattest	4999497
teil	4999496
tu	4999495
einige	4999494
bleib	4999493
beiden	4999492
herz	4999491
papa	4999490
stellen	4999489
wichtig	4999488
euer	4999487
blut	4999486
bloss	4999485
john	4999484
neuen	4999483
wiedersehen	4999482
unseren	4999481
glucklich	4999480
jack	4999479
frei	4999478
ding	4999477
gedacht	4999476
tust	4999475
scheint	4999474
arsch	4999473
oft	4999472
wohin	4999471
waffe	4999470
sorge	4999469
fest	4999468
platz	4999467
eltern	4999466
kriegen	4999465
wen	4999464
moglich	4999463
drauf	4999462
falls	4999461
irgendwie	4999460
jungen	4999459
besten	4999458
alten	4999457
nummer	4999456
wahrscheinlich	4999455
dollar	4999454
brauchst	4999453
ehrlich	4999452
hierher	4999451
irgendwas	4999450
setzen	4999449
zuerst	4999448
falsch	4999447
reicht	4999446
menge	4999445
bereits	4999444
bring	4999443
jede	4999442
holle	4999441
pass	4999440
ausser	4999439
fruher	4999438
rede	4999437
grossen	4999436
hande	4999435
wollt	4999434
gegeben	4999433
telefon	4999432
kennst	4999431
wartet	4999430
schiff	4999429
fruh	4999428
sondern	4999427
scheiss	4999426
tue	4999425
willkommen	4999424
kaum	4999423
doktor	4999422
fehler	4999421
retten	4999420
stunde	4999419
meines	4999418
durfen	4999417
sechs	4999416
plan	4999415
klingt	4999414
zehn	4999413
nachste	4999412
nachsten	4999411
langsam	4999410
gebe	4999409
allem	4999408
film	4999407
ruf	4999406
wochen	4999405
geworden	4999404
schaffen	4999403
uberall	4999402
voll	4999401
feuer	4999400
alleine	4999399
buro	4999398
direkt	4999397
kumpel	4999396
trotzdem	4999395
hm	4999394
erinnern	4999393
lernen	4999392
denkt	4999391
konig	4999390
new	4999389
tat	4999388
nennen	4999387
kleines	4999386
wem	4999385
eigenen	4999384
aufhoren	4999383
konnt	4999382
deswegen	4999381
danach	4999380
verlieren	4999379
neues	4999378
vollig	4999377
leider	4999376
hol	4999375
seht	4999374
luft	4999373
stelle	4999372
ziehen	4999371
funktioniert	4999370
verstehst	4999369
verschwinden	4999368
heiraten	4999367
wolltest	4999366
unserem	4999365
spricht	4999364
entschuldige	4999363
jedes	4999362
probleme	4999361
lebt	4999360
konntest	4999359
versuche	4999358
gebracht	4999357
krank	4999356
gegangen	4999355
wow	4999354
kaffee	4999353
froh	4999352
genommen	4999351
fuhle	4999350
wert	4999349
rufen	4999348
erde	4999347
richtige	4999346
suche	4999345
stuck	4999344
getroffen	4999343
lch	4999342
tagen	4999341
nochmal	4999340
nachdem	4999339
mochten	4999338
arzt	4999337
typen	4999336
fand	4999335
vertrauen	4999334
sam	4999333
druben	4999332
himmel	4999331
erklaren	4999330
interessiert	4999329
irgendwo	4999328
nachricht	4999327
glaub	4999326
tja	4999325
onkel	4999324
spielt	4999323
genauso	4999322
geschafft	4999321
grosser	4999320
waffen	4999319
i	4999318
licht	4999317
korper	4999316
kaufen	4999315
weniger	4999314
lasse	4999313
lhr	4999312
wahl	4999311
damals	4999310
rest	4999309
schatze	4999308
gefuhl	4999307
zwar	4999306
halte	4999305
passieren	4999304
schlussel	4999303
sitzen	4999302
millionen	4999301
weh	4999300
leicht	4999299
kummern	4999298
herren	4999297
sagten	4999296
kennt	4999295
gefragt	4999294
zukunft	4999293
schauen	4999292
party	4999291
vergiss	4999290
angerufen	4999289
total	4999288
mochtest	4999287
solche	4999286
opfer	4999285
passt	4999284
worden	4999283
versuch	4999282
gesprochen	4999281
gefangnis	4999280
cool	4999279
vorsichtig	4999278
o	4999277
wovon	4999276
grossartig	4999275
laut	4999274
vorstellen	4999273
sinn	4999272
schone	4999271
sobald	4999270
krankenhaus	4999269
wohnung	4999268
tragen	4999267
person	4999266
bose	4999265
mist	4999264
michael	4999263
super	4999262
stark	4999261
still	4999260
mund	4999259
verletzt	4999258
boss	4999257
leuten	4999256
boden	4999255
sex	4999254
kampfen	4999253
bringe	4999252
fuhlen	4999251
ausserdem	4999250
lustig	4999249
andern	4999248
fliegen	4999247
findet	4999246
hore	4999245
klasse	4999244
verdammte	4999243
solange	4999242
charlie	4999241
setz	4999240
schicken	4999239
langer	4999238
jemals	4999237
horst	4999236
stolz	4999235
besonders	4999234
idiot	4999233
sicherheit	4999232
redest	4999231
eher	4999230
umbringen	4999229
wenigstens	4999228
anrufen	4999227
zeug	4999226
sollst	4999225
gestorben	4999224
mr	4999223
ahm	4999222
hasse	4999221
zeig	4999220
hart	4999219
erwartet	4999218
heissen	4999217
morder	4999216
lachen	4999215
a	4999214
fuhren	4999213
heraus	4999212
glaubt	4999211
fallt	4999210
stimme	4999209
geschehen	4999208
wisst	4999207
erfahren	4999206
geschaft	4999205
tages	4999204
schneller	4999203
hinten	4999202
stand	4999201
umgebracht	4999200
acht	4999199
liebling	4999198
mogen	4999197
fallen	4999196
denk	4999195
frank	4999194
meinung	4999193
liebt	4999192
erinnere	4999191
folgen	4999190
schluss	4999189
monate	4999188
unglaublich	4999187
vorher	4999186
verzeihung	4999185
arschloch	4999184
meisten	4999183
schlimm	4999182
aufs	4999181
york	4999180
peter	4999179
lebens	4999178
werdet	4999177
unmoglich	4999176
kampf	4999175
laden	4999174
nahe	4999173
team	4999172
bild	4999171
joe	4999170
verdient	4999169
arbeitet	4999168
jedem	4999167
behalten	4999166
bitten	4999165
tatsachlich	4999164
anfangen	4999163
versprochen	4999162
mord	4999161
bekommt	4999160
rufe	4999159
zieh	4999158
fort	4999157
perfekt	4999156
tom	4999155
sieben	4999154
plotzlich	4999153
geschickt	4999152
tisch	4999151
liegen	4999150
chffffff	4999149
antwort	4999148
bezahlen	4999147
machte	4999146
arbeite	4999145
gefahrlich	4999144
traum	4999143
bezahlt	4999142
auge	4999141
general	4999140
dumm	4999139
starb	4999138
hotel	4999137
verkaufen	4999136
ziel	4999135
obwohl	4999134
arger	4999133
fenster	4999132
seien	4999131
daddy	4999130
niemanden	4999129
horte	4999128
handy	4999127
bewegung	4999126
gerettet	4999125
dagegen	4999124
monaten	4999123
notig	4999122
hilf	4999121
ihres	4999120
werd	4999119
gewinnen	4999118
max	4999117
gedanken	4999116
erinnerst	4999115
voller	4999114
verheiratet	4999113
fahr	4999112
rum	4999111
mike	4999110
benutzt	4999109
yeah	4999108
nimmt	4999107
welcher	4999106
augenblick	4999105
you	4999104
komisch	4999103
hole	4999102
gefahr	4999101
entscheidung	4999100
meister	4999099
unterwegs	4999098
lacht	4999097
leiche	4999096
zug	4999095
ma	4999094
chef	4999093
gleiche	4999092
worte	4999091
bier	4999090
arm	4999089
klappe	4999088
fangen	4999087
absolut	4999086
schlimmer	4999085
kamen	4999084
minute	4999083
zahlen	4999082
benutzen	4999081
anfang	4999080
finger	4999079
zuhause	4999078
hilft	4999077
arme	4999076
legen	4999075
findest	4999074
naja	4999073
regeln	4999072
herum	4999071
lhre	4999070
ruber	4999069
david	4999068
geschrieben	4999067
wach	4999066
irgendetwas	4999065
paris	4999064
offen	4999063
schonen	4999062
wunschte	4999061
monsieur	4999060
jemandem	4999059
tanzen	4999058
sitzt	4999057
kalt	4999056
partner	4999055
reise	4999054
dame	4999053
sekunden	4999052
bescheid	4999051
raum	4999050
george	4999049
schiessen	4999048
steh	4999047
rolle	4999046
fuhrt	4999045
monat	4999044
nen	4999043
mude	4999042
schlagen	4999041
informationen	4999040
lage	4999039
hochzeit	4999038
standig	4999037
gottes	4999036
weise	4999035
weitere	4999034
gewonnen	4999033
richtung	4999032
suss	4999031
heiss	4999030
wozu	4999029
harry	4999028
darfst	4999027
lauf	4999026
anwalt	4999025
erzahl	4999024
agent	4999023
aller	4999022
paul	4999021
fuhlt	4999020
steckt	4999019
magst	4999018
liess	4999017
gelernt	4999016
wunderbar	4999015
beispiel	4999014
haltst	4999013
weile	4999012
vorsicht	4999011
seele	4999010
selber	4999009
erledigt	4999008
ehre	4999007
furs	4999006
nennt	4999005
ansehen	4999004
gehabt	4999003
nahm	4999002
kraft	4999001
links	4999000
herzen	4998999
bekannt	4998998
wofur	4998997
boot	4998996
stell	4998995
verschwinde	4998994
darin	4998993
kontrolle	4998992
dahin	4998991
rucken	4998990
befehl	4998989
leg	4998988
sucht	4998987
bar	4998986
hubsch	4998985
tief	4998984
foto	4998983
brief	4998982
schreit	4998981
gestohlen	4998980
verliebt	4998979
irgendwann	4998978
naher	4998977
welches	4998976
tasche	4998975
heisse	4998974
ehe	4998973
unfall	4998972
verbindung	4998971
geschenk	4998970
jedenfalls	4998969
beweise	4998968
punkt	4998967
uh	4998966
verschwunden	4998965
hoffentlich	4998964
schrecklich	4998963
geist	4998962
sowieso	4998961
professor	4998960
gold	4998959
dasselbe	4998958
zumindest	4998957
gelesen	4998956
beweisen	4998955
gearbeitet	4998954
erwischt	4998953
geboren	4998952
bisher	4998951
offnen	4998950
versteckt	4998949
unbedingt	4998948
dauert	4998947
computer	4998946
sonne	4998945
reich	4998944
damen	4998943
hunger	4998942
lady	4998941
preis	4998940
lugen	4998939
firma	4998938
normal	4998937
neben	4998936
wette	4998935
gekauft	4998934
wunder	4998933
pferd	4998932
beschutzen	4998931
frieden	4998930
schwore	4998929
erreichen	4998928
aussehen	4998927
fehlt	4998926
verkauft	4998925
erwarten	4998924
haut	4998923
holt	4998922
herrn	4998921
wussten	4998920
traurig	4998919
seltsam	4998918
henry	4998917
gesucht	4998916
kriegt	4998915
zieht	4998914
susse	4998913
jung	4998912
liste	4998911
de	4998910
tolle	4998909
nachstes	4998908
sekunde	4998907
euren	4998906
tschuss	4998905
grosses	4998904
karte	4998903
stirbt	4998902
redet	4998901
ans	4998900
schade	4998899
anruf	4998898
letzter	4998897
and	4998896
beziehung	4998895
bewegen	4998894
rechts	4998893
willen	4998892
wutend	4998891
personlich	4998890
nachrichten	4998889
zeiten	4998888
prasident	4998887
eigene	4998886
madame	4998885
bleibe	4998884
witz	4998883
freut	4998882
lebe	4998881
fahrt	4998880
geburtstag	4998879
entfernt	4998878
untertitel	4998877
verraten	4998876
moglichkeit	4998875
wein	4998874
vermutlich	4998873
bord	4998872
nick	4998871
ruft	4998870
fahre	4998869
nase	4998868
kindern	4998867
bank	4998866
geschlafen	4998865
furchte	4998864
offensichtlich	4998863
blick	4998862
verandert	4998861
hau	4998860
alex	4998859
singen	4998858
zerstort	4998857
geheimnis	4998856
beschaftigt	4998855
flugzeug	4998854
fuss	4998853
diesmal	4998852
vermisst	4998851
tante	4998850
bekam	4998849
ha	4998848
schlaf	4998847
regierung	4998846
sauer	4998845
armee	4998844
majestat	4998843
jimmy	4998842
meinte	4998841
deines	4998840
kirche	4998839
drogen	4998838
jesus	4998837
schlechte	4998836
zeigt	4998835
kontakt	4998834
ben	4998833
letztes	4998832
gegenuber	4998831
geredet	4998830
bleibst	4998829
richtigen	4998828
miteinander	4998827
detective	4998826
hoffnung	4998825
wunderschon	4998824
ermordet	4998823
liebst	4998822
la	4998821
schicksal	4998820
stecken	4998819
schlag	4998818
lust	4998817
geliebt	4998816
gericht	4998815
bekomme	4998814
ran	4998813
kaputt	4998812
sauber	4998811
namlich	4998810
gefuhle	4998809
erhalten	4998808
brachte	4998807
gesellschaft	4998806
verspreche	4998805
lieb	4998804
zeichen	4998803
ubrigens	4998802
interessant	4998801
gehoren	4998800
volk	4998799
anderer	4998798
erledigen	4998797
antworten	4998796
uberraschung	4998795
tee	4998794
vaters	4998793
kriegst	4998792
soweit	4998791
schlampe	4998790
besorgt	4998789
indem	4998788
achtung	4998787
verstecken	4998786
verdammten	4998785
manche	4998784
mary	4998783
ewig	4998782
show	4998781
don	4998780
soldaten	4998779
herausfinden	4998778
weihnachten	4998777
sarah	4998776
namens	4998775
uberleben	4998774
lieutenant	4998773
gelassen	4998772
heim	4998771
entweder	4998770
sheriff	4998769
sagtest	4998768
vergangenheit	4998767
fotos	4998766
haare	4998765
of	4998764
situation	4998763
weder	4998762
angefangen	4998761
wald	4998760
james	4998759
bill	4998758
jawohl	4998757
fbi	4998756
setzt	4998755
stellt	4998754
kriege	4998753
frag	4998752
zuvor	4998751
besuch	4998750
amerika	4998749
bob	4998748
teilen	4998747
schuldig	4998746
schwein	4998745
beginnen	4998744
schritt	4998743
gebaude	4998742
kummere	4998741
entscheiden	4998740
guck	4998739
hals	4998738
verstand	4998737
zweite	4998736
ungefahr	4998735
drinnen	4998734
passen	4998733
herein	4998732
vergnugen	4998731
haltet	4998730
gefahren	4998729
schones	4998728
jim	4998727
gebeten	4998726
meint	4998725
ubrig	4998724
uberrascht	4998723
aufhalten	4998722
worauf	4998721
ehemann	4998720
besuchen	4998719
ganzes	4998718
brauch	4998717
insel	4998716
nimmst	4998715
glas	4998714
werfen	4998713
erkennen	4998712
nervos	4998711
verantwortlich	4998710
fuhlst	4998709
schaut	4998708
konigin	4998707
kamera	4998706
zerstoren	4998705
witzig	4998704
wohnen	4998703
irgendwelche	4998702
anna	4998701
niemandem	4998700
schutzen	4998699
deutsche	4998698
mussten	4998697
lag	4998696
prinzessin	4998695
gibst	4998694
gesetz	4998693
schoner	4998692
erschossen	4998691
vorne	4998690
freude	4998689
messer	4998688
sowas	4998687
nehmt	4998686
gleichen	4998685
gluckwunsch	4998684
aufgabe	4998683
falsche	4998682
neun	4998681
gegend	4998680
feiern	4998679
falschen	4998678
entschieden	4998677
mission	4998676
kuche	4998675
erster	4998674
gegessen	4998673
planeten	4998672
ball	4998671
ubernehmen	4998670
johnny	4998669
mitnehmen	4998668
unsinn	4998667
stopp	4998666
pro	4998665
gemeinsam	4998664
lied	4998663
gespielt	4998662
melden	4998661
seines	4998660
spur	4998659
rat	4998658
adresse	4998657
dorf	4998656
halfte	4998655
m	4998654
allerdings	4998653
position	4998652
bedeuten	4998651
bewegt	4998650
gruppe	4998649
monster	4998648
beine	4998647
aussieht	4998646
wohnt	4998645
hangt	4998644
schwierigkeiten	4998643
respekt	4998642
london	4998641
seh	4998640
handen	4998639
danny	4998638
erinnert	4998637
schuhe	4998636
verhaftet	4998635
feind	4998634
verzeihen	4998633
band	4998632
geholfen	4998631
dachten	4998630
abendessen	4998629
statt	4998628
besorgen	4998627
drehen	4998626
mark	4998625
woruber	4998624
davor	4998623
freiheit	4998622
schliessen	4998621
nah	4998620
nachts	4998619
kannte	4998618
zufrieden	4998617
martin	4998616
gewartet	4998615
gefangen	4998614
brucke	4998613
leisten	4998612
gewusst	4998611
verbrechen	4998610
armen	4998609
lief	4998608
drink	4998607
meer	4998606
wunsche	4998605
eier	4998604
eis	4998603
kleid	4998602
clark	4998601
schmerz	4998600
stimmen	4998599
gesund	4998598
eurer	4998597
witze	4998596
richter	4998595
bullen	4998594
deren	4998593
leise	4998592
welchen	4998591
wind	4998590
danken	4998589
kummert	4998588
bericht	4998587
maria	4998586
ring	4998585
sorry	4998584
entlang	4998583
furchtbar	4998582
einverstanden	4998581
geschlagen	4998580
ubel	4998579
betrunken	4998578
to	4998577
taxi	4998576
versteht	4998575
fernsehen	4998574
mitten	4998573
erfolg	4998572
schwanger	4998571
falle	4998570
unternehmen	4998569
beenden	4998568
deal	4998567
traume	4998566
schwierig	4998565
maul	4998564
schlaft	4998563
dauern	4998562
billy	4998561
genannt	4998560
maschine	4998559
fantastisch	4998558
beginnt	4998557
helfe	4998556
energie	4998555
versprechen	4998554
t	4998553
fleisch	4998552
singt	4998551
aha	4998550
schliesslich	4998549
unseres	4998548
stehe	4998547
ehren	4998546
mannern	4998545
angriff	4998544
sergeant	4998543
beeil	4998542
verdienen	4998541
grosste	4998540
wochenende	4998539
freue	4998538
hangen	4998537
spiele	4998536
kostet	4998535
see	4998534
bekommst	4998533
schloss	4998532
halb	4998531
rennen	4998530
unterschied	4998529
echte	4998528
tragt	4998527
totet	4998526
quatsch	4998525
jane	4998524
geandert	4998523
angebot	4998522
daniel	4998521
bilder	4998520
neuer	4998519
major	4998518
bein	4998517
au	4998516
schuss	4998515
freunden	4998514
polizist	4998513
schatzchen	4998512
treten	4998511
weinen	4998510
patienten	4998509
schaden	4998508
fang	4998507
wusstest	4998506
fraulein	4998505
schatzen	4998504
hielt	4998503
brechen	4998502
fanden	4998501
besteht	4998500
leiden	4998499
haufen	4998498
sprach	4998497
ernsthaft	4998496
daher	4998495
reichen	4998494
colonel	4998493
lacherlich	4998492
dessen	4998491
aufpassen	4998490
nee	4998489
verpasst	4998488
befehle	4998487
zufallig	4998486
meter	4998485
blumen	4998484
bauen	4998483
vorwarts	4998482
tony	4998481
tommy	4998480
park	4998479
hut	4998478
tote	4998477
bringst	4998476
loch	4998475
operation	4998474
spreche	4998473
hinaus	4998472
thomas	4998471
tiere	4998470
zeitung	4998469
gehirn	4998468
wand	4998467
richard	4998466
verbringen	4998465
wunschen	4998464
charles	4998463
mitgebracht	4998462
spannende	4998461
bucher	4998460
worum	4998459
gelegenheit	4998458
commander	4998457
ohren	4998456
chuck	4998455
entkommen	4998454
schreien	4998453
nachgedacht	4998452
bombe	4998451
angetan	4998450
gebrochen	4998449
mut	4998448
ray	4998447
bus	4998446
steig	4998445
robert	4998444
luge	4998443
weissen	4998442
heilige	4998441
unterhalten	4998440
ecke	4998439
flasche	4998438
eingeladen	4998437
sahen	4998436
stohnt	4998435
gestellt	4998434
zeitpunkt	4998433
lord	4998432
verhalten	4998431
grad	4998430
lacheln	4998429
schafft	4998428
besonderes	4998427
oma	4998426
haar	4998425
nutzen	4998424
schwanz	4998423
lois	4998422
neuigkeiten	4998421
engel	4998420
gesprach	4998419
leer	4998418
klingelt	4998417
lehrer	4998416
blod	4998415
fassen	4998414
trifft	4998413
interesse	4998412
versteh	4998411
verantwortung	4998410
gebt	4998409
mannes	4998408
folge	4998407
tor	4998406
robin	4998405
fragt	4998404
wart	4998403
lhnen	4998402
kosten	4998401
schmerzen	4998400
geschlossen	4998399
system	4998398
funktionieren	4998397
eigenes	4998396
sommer	4998395
red	4998394
zweiten	4998393
club	4998392
keller	4998391
schwarze	4998390
dorthin	4998389
keinem	4998388
uberprufen	4998387
fruhstuck	4998386
mami	4998385
druck	4998384
schwert	4998383
traf	4998382
dach	4998381
sprichst	4998380
gehalten	4998379
wahnsinn	4998378
baum	4998377
verdammter	4998376
auftrag	4998375
hintern	4998374
gelaufen	4998373
fragte	4998372
mitkommen	4998371
hose	4998370
ted	4998369
fisch	4998368
rief	4998367
zeige	4998366
held	4998365
rauf	4998364
kugel	4998363
gewalt	4998362
kurs	4998361
losung	4998360
flug	4998359
gebaut	4998358
sprich	4998357
nachdenken	4998356
beweis	4998355
vorhin	4998354
bobby	4998353
freuen	4998352
stein	4998351
hasst	4998350
knast	4998349
walter	4998348
daraus	4998347
urlaub	4998346
hunde	4998345
pause	4998344
verschwindet	4998343
irre	4998342
tier	4998341
nachmittag	4998340
d	4998339
erreicht	4998338
prinz	4998337
ubersetzung	4998336
koffer	4998335
welchem	4998334
hinterlassen	4998333
fick	4998332
erklart	4998331
einzigen	4998330
vogel	4998329
getrunken	4998328
eddie	4998327
erstes	4998326
geschieht	4998325
gemeint	4998324
taten	4998323
jagen	4998322
